セクション,項目,岚图梦想家 2027款 PHEV 冠军版,岚图梦想家 2026款 PHEV 鲲鹏Pro,岚图梦想家 2026款 PHEV 鲲鹏Max,岚图梦想家 2026款 PHEV 乾崑Pro,岚图梦想家 2026款 PHEV 乾崑Max,岚图梦想家 2026款 PHEV 乾崑Ultra,岚图梦想家 2026款 PHEV 典藏版,岚图梦想家 2026款 PHEV 山河四座版,岚图梦想家 2026款 EV 鲲鹏Max,岚图梦想家 2026款 EV 乾崑Max,岚图梦想家 2026款 EV 乾崑Ultra,岚图梦想家 2025款 PHEV 四驱卓越鲲鹏版,岚图梦想家 2025款 PHEV 四驱卓越乾崑版,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,岚图梦想家 2025款 PHEV 超长续航世纪版,岚图梦想家 2025款 领航系列 PHEV 超长续航 舒享版,岚图梦想家 2025款 领航系列 PHEV 超长续航 尊享版,岚图梦想家 2025款 EV 长续航世纪版,岚图梦想家 2025款 EV 四驱卓越鲲鹏版,岚图梦想家 2025款 EV 四驱卓越乾崑版,岚图梦想家 2025款 领航系列 EV 超长续航 豪华版,岚图梦想家 2025款 领航系列 EV 超长续航 舒享版,岚图梦想家 2024款 PHEV 超长续航卓越版,岚图梦想家 2024款 PHEV 超长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2026款 梦想家9 EV 基本型,岚图梦想家 2026款 梦想家9 PHEV 基本型
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)",-,-
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,-
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)",-,-,"● 加热
● 通风
● 按摩",-,"● 加热
● 通风","● 加热
● 通风
● 按摩",-,-,-,"● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,-
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排",○ 后排,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排",○ 后排,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排",-,"● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排","● 驾驶位
● 副驾驶位
● 后排",-,-
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
座椅配置,第二排座椅调节,"● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","○ 前后调节
○ 靠背调节
○ 腰部调节
○ 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","○ 前后调节
○ 靠背调节
○ 腰部调节
○ 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 腰部调节
● 腿托调节",-,"● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节","● 前后调节
● 靠背调节
● 高低调节
● 腰部调节
● 腿托调节",-,-
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,○,●,●,-,●,●,●,●,●,●,●,●,-,-
座椅配置,第二排座椅功能,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","○ 加热
○ 通风
○ 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-,-
座椅配置,后排小桌板,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,-,-,●,-,●,●,-,-,-,●,-,●,-,●,●,-,-
座椅配置,零重力座椅,-,-,-,-,-,● 第二排,● 第二排,● 第二排,-,-,● 第二排,-,-,-,● 第二排,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
座椅配置,第三排座椅调节,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,● 靠背调节,● 靠背调节,-,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节",-,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,-,-
座椅配置,第三排座椅电动调节,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第三排座椅功能,-,-,-,-,-,"● 加热
● 通风","● 加热
● 通风",-,-,-,"● 加热
● 通风",-,-,-,● 加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,-,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,-
座椅配置,后排座椅电动放倒,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,-,-
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,● Dynaudio丹拿,● Dynaudio丹拿,-,-,-,-,-,-,-,-,-,● Dynaudio丹拿,-,-,-,-,-,-,● Dynaudio丹拿,-,● Dynaudio丹拿,-,● Dynaudio丹拿,● Dynaudio丹拿,-,-
音响/车内灯光,扬声器数量,● 20喇叭,● 20喇叭,● 20喇叭,● 20喇叭,● 20喇叭,● 22喇叭,● 22喇叭,● 22喇叭,● 20喇叭,● 20喇叭,● 22喇叭,● 12喇叭,● 12喇叭,● 20喇叭,● 22喇叭,● 6喇叭,● 8喇叭,● 10喇叭,● 6喇叭,● 12喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 10喇叭,● 10喇叭,-,-
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
音响/车内灯光,车内环境氛围灯,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色,● 多色,● 64色,● 64色,● 64色,-,-,● 64色,● 64色,-,-,● 64色,-,-,-,-,-,-,● 64色,-,● 64色,-,● 64色,● 64色,-,-
音响/车内灯光,主动式环境氛围灯,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,-,-
空调/冰箱,热泵空调,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,●,-,●,●,-,-
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,●,●,-,●,-,●,●,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
空调/冰箱,负离子发生器,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,车内香氛装置,-,-,-,-,-,●,●,●,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,空气质量监测,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,●,-,-,-,-,-,-,●,-,●,-,●,●,-,-
空调/冰箱,车载冰箱,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,-,–
