セクション,セクション_ja,項目,項目_ja,2027年モデル PHEV チャンピオン版,2026年モデル PHEV 鯤鵬Pro,2026年モデル PHEV 鯤鵬Max,2026年モデル PHEV 乾崑Pro,2026年モデル PHEV 乾崑Max,2026年モデル PHEV 乾崑Ultra,2026年モデル PHEV 典蔵版,2026年モデル PHEV 山河4人乗り版,2026年モデル EV 鯤鵬Max,2026年モデル EV 乾崑Max,2026年モデル EV 乾崑Ultra,2025年モデル PHEV 4WD 卓越鯤鵬版,2025年モデル PHEV 4WD 卓越乾崑版,2025年モデル PHEV 4WD 尊貴鯤鵬版,2025年モデル PHEV 4WD 旗艦鯤鵬版,2025年モデル PHEV 超長航続世紀版,2025年モデル 先導シリーズ PHEV 超長航続 快適版,2025年モデル 先導シリーズ PHEV 超長航続 尊享版,2025年モデル EV 長航続世紀版,2025年モデル EV 4WD 卓越鯤鵬版,2025年モデル EV 4WD 卓越乾崑版,2025年モデル 先導シリーズ EV 超長航続 豪華版,2025年モデル 先導シリーズ EV 超長航続 快適版,2024年モデル PHEV 超長航続 卓越版,2024年モデル PHEV 超長距離プレミアム版,2024年モデル EV 長距離エクセレント版,2024年モデル EV 長距離プレミアム版,2024年モデル EV 超長距離エクセレント版,2024年モデル EV 超長距離プレミアム版,2024年モデル EV 超長距離フラッグシップ版,2026年モデル 夢想家9 EV 基本型,2026年モデル 夢想家9 PHEV 基本型
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,-
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,-,●,●,-,-,-,-,-,●,-,-,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● ステアリングヒーター
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス/修理予約",-,-
互联/智能化,互联/智能化,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
互联/智能化,互联/智能化,车载KTV,車載カラオケ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,-,-
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,○,○,-,●,●,-,○,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,-,-
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.25インチ,● 10.25インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,-,● 29インチ,● 29インチ,● 29インチ,-,-,-,-,-,● 29インチ,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● HDMI
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,● 前席2個／後席6個,-,-
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,-,-
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマートフォンワイヤレス充電機能,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",● 前席,● 前席,"● 前席
● 後席","● 前席
● 後席",-,● 前席,● 前席,-,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-
车内充电,車内充電設備,手机无线充电功率,スマートフォンワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,● 50W,● 50W,-,● 50W,● 50W,-,● 50W,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,-,-
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）",-,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）",-,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）",-,-,"● 加熱
● 通気
● マッサージ",-,"● 加熱
● 通気","● 加熱
● 通気
● マッサージ",-,-,-,"● 加熱
● 通気
● マッサージ",-,"● 加熱
● 通気
● マッサージ",-,"● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ",-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席",○ 後席,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席",○ 後席,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席",-,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席",-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","○ 前後調整
○ リクライニング調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","○ 前後調整
○ リクライニング調整
○ 腰部調整
○ レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 腰部調整
● レッグレスト調整",-,"● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整",-,-
