セクション,セクション_ja,項目,項目_ja,2026年モデル 改良版 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 改良版 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 改良版 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 7人乗り CNG,2026年モデル 2.0L MT ロング軸 エリート版 9人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 7人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 8人乗り CNG,2026年モデル 2.0L ロング軸 中級営業用 快適版 9人乗り CNG,2026年モデル 2.0L AT ロング軸 新年版 7人乗り,2026年モデル 2.0L AT ロング軸 新年版 9人乗り,2026年モデル 2.0L キャンピングカー 美途版 5人乗り,2026年モデル 2.0L キャンピングカー 軽旅版 5人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 改良版 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 改良版 2.0L MT ロング軸 中級営業用 9人乗り,2026年モデル 2.0L AT ロング軸 豪華型 7人乗り,2026年モデル 2.0L AT ロング軸 豪華型 9人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 7人乗り,2026年モデル 2.0L AT ロング軸 フラッグシップ型 9人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2026年モデル 1.6L MT 標準軸 快適型 5人乗り,2026年モデル 1.6L MT 標準軸 快適型 7人乗り,2026年モデル 1.6L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2026年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2026年モデル 2.0L MT 標準軸 豪華型 7人乗り,2026年モデル 1.6L MT ロング軸 快適型 5人乗り,2026年モデル 1.6L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 基本型 ブラインドウィンドウ版 2人乗り,2026年モデル 2.0L MT ロング軸 快適型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 7人乗り,2026年モデル 2.0L MT ロング軸 豪華型 9人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 8人乗り,2026年モデル 2.0L MT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L CNG 基本版 2人乗り,2025年モデル 2.0L CNG 快適型 6人乗り,2025年モデル 2.0L CNG 快適型 7人乗り,2025年モデル 2.0L CNG エリート版 7人乗り,2025年モデル 2.0L CNG エリート版 9人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 7人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 8人乗り,2025年モデル 2.0L CNG 中級営業用 快適版 9人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 中級営業用ラグジュアリー 9人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 7人乗り,2025年モデル 2.0L CNG 上級営業用ラグジュアリー 9人乗り,2025年モデル 1.6L MT 標準軸 快適タイプ 5人乗り,2025年モデル 1.6L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 7人乗り,2025年モデル 1.6L MT 標準軸 中級営業用 8人乗り,2025年モデル 2.0L MT 標準軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 7人乗り,2025年モデル 2.0L MT 標準軸 中級営業用 8人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 5人乗り,2025年モデル 1.6L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ブラインドウィンドウ 基本タイプ 2人乗り,2025年モデル 2.0L MT ロング軸 快適タイプ 6・7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L MT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L MT ロング軸 中級営業用 8・9人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 7人乗り,2025年モデル 2.0L AT ロング軸 ラグジュアリー 9人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 7人乗り,2025年モデル 2.0L AT ロング軸 フラッグシップ 9人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 中級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 7人乗り,2025年モデル 2.0L AT ロング軸 上級営業用 9人乗り,2025年モデル 2.0L AT ロング軸 プレミアム 7人乗り,2025年モデル 2.0L CNG 上級営業用 プレミアム 7人乗り,2024年モデル 1.6L ロング軸 創富タイプ 6人乗り,2024年モデル 1.6L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 創享タイプ 9人乗り,2024年モデル 2.0L ロング軸 創富タイプ 7人乗り,2024年モデル 1.6L ロング軸 ラグジュアリー営業用 9人乗り,2024年モデル 2.0L ロング軸 中級営業用 7人乗り,2024年モデル 2.0L ロング軸 中級営業用 9人乗り,2024年モデル 2.0L ロング軸 プレミアム 7人乗り,2023年モデル 1.6L 標準軸 創富タイプ 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 7人乗り,2023年モデル 2.0L ロング軸 行政仕様 9人乗り,2023年モデル 1.6L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L ロング軸 配車アプリ専用カスタム 7人乗り,2023年モデル 2.0L CNG ロング軸 ラグジュアリー営業用 9人乗り 連結シート
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,-,-,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個,● 3個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,-,-,-,-,-,-,-,-,-,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,-,-,-,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,● アダプティブクルーズコントロール,● アダプティブクルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,-,-,-,● クルーズコントロール,● クルーズコントロール,● クルーズコントロール,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● レベル2,● レベル2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,-,-,-,-,-,-,-,-,-,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,● 高徳（地図アプリ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● アルミ合金,● 鋼製,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● 鋼製,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● 鋼製,● アルミ合金,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼製,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,侧滑门形式,スライドドア形式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式,● 右側手動式
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席,● 運転席,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,-,-,-,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,●,●,-,-,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,●,○ ハロゲン,●,-,-,●,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○ ハロゲン,○ ハロゲン,○ ハロゲン,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,● ハロゲン,● ハロゲン,●,●,-,●,-,-,-,-,● ハロゲン,● ハロゲン,● ハロゲン,-,-,● ハロゲン,● ハロゲン,-,-,● ハロゲン
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
