セクション,項目,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 改款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 改款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 7座 CNG,锐胜王牌M7 2026款 2.0L 手动长轴精英版 9座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 7座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 8座 CNG,锐胜王牌M7 2026款 2.0L 长轴中级营运舒适版 9座 CNG,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 7座,锐胜王牌M7 2026款 2.0L 自动长轴贺岁版 9座,锐胜王牌M7 2026款 2.0L 宿营车 美途版 5座,锐胜王牌M7 2026款 2.0L 宿营车 轻旅版 5座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 改款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 改款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 改款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2026款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 7座,锐胜王牌M7 2026款 2.0L 自动长轴中级营运 9座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动标轴舒适型 7座,锐胜王牌M7 2026款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2026款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2026款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2026款 1.6L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴基本型盲窗版 2座,锐胜王牌M7 2026款 2.0L 手动长轴舒适型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2026款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 7座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 8座,锐胜王牌M7 2026款 2.0L 手动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L CNG基本版 2座,锐胜王牌M7 2025款 2.0L CNG舒适型 6座,锐胜王牌M7 2025款 2.0L CNG舒适型 7座,锐胜王牌M7 2025款 2.0L CNG精英版 7座,锐胜王牌M7 2025款 2.0L CNG精英版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 8座,锐胜王牌M7 2025款 2.0L CNG中级营运舒适版 9座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG中级营运豪华版 9座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运豪华版 9座,锐胜王牌M7 2025款 1.6L 手动标轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动标轴豪华型 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 7座,锐胜王牌M7 2025款 1.6L 手动标轴中级营运 8座,锐胜王牌M7 2025款 2.0L 手动标轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动标轴中级营运 8座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 5座,锐胜王牌M7 2025款 1.6L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴盲窗基本型 2座,锐胜王牌M7 2025款 2.0L 手动长轴舒适型 6/7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 手动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 7座,锐胜王牌M7 2025款 2.0L 手动长轴中级营运 8/9座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 7座,锐胜王牌M7 2025款 2.0L 自动长轴豪华型 9座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 7座,锐胜王牌M7 2025款 2.0L 自动长轴旗舰型 9座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 7座,锐胜王牌M7 2025款 2.0L 自动长轴中级营运版 9座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 7座,锐胜王牌M7 2025款 2.0L 自动长轴高级营运 9座,锐胜王牌M7 2025款 2.0L 自动长轴至尊版 7座,锐胜王牌M7 2025款 2.0L CNG高级营运尊贵版 7座,锐胜王牌M7 2024款 1.6L 长轴创富型 6座,锐胜王牌M7 2024款 1.6L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴创享型 9座,锐胜王牌M7 2024款 2.0L 长轴创富型 7座,锐胜王牌M7 2024款 1.6L 长轴豪华营运版 9座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 7座,锐胜王牌M7 2024款 2.0L 长轴中级营运版 9座,锐胜王牌M7 2024款 2.0L 长轴至尊版 7座,锐胜王牌M7 2023款 1.6L 标轴创富型 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 7座,锐胜王牌M7 2023款 2.0L 长轴行政版 9座,锐胜王牌M7 2023款 1.6L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L 长轴网约车定制版 7座,锐胜王牌M7 2023款 2.0L CNG长轴豪华营运版 9座联排座椅
驾驶功能,导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,地图品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-,-,-,-,-,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 高德,● 高德,● 高德,● 高德,● 高德,● 高德,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,轮圈材质,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 铝合金,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 钢,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 钢,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 钢,● 铝合金,● 铝合金,● 铝合金,● 铝合金,● 铝合金
外观/防盗,侧滑门形式,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动,● 右侧手动
外观/防盗,电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-
外观/防盗,发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
外观/防盗,车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,钥匙类型,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙,● 遥控钥匙
外观/防盗,无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
外观/防盗,无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 驾驶位,● 驾驶位,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-,-,-,-,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,● 驾驶位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
车外灯光,近光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,远光灯光源,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素,● 卤素
车外灯光,LED日间行车灯,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●,-,●,-,-,-,-,●,●,●,-,-,●,●,-,-,●
车外灯光,自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,自动头灯,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,●,●,●,●,-,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-
车外灯光,转向辅助灯,-,-,●,○,●,-,-,●,-,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○,○,○,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,-,-,●,●,-,●,-,-,-,-,-,-,-,-,-,●,●,-,-,-
车外灯光,车前雾灯,-,-,●,○ 卤素,●,-,-,●,-,-,-,●,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,●,●,-,○ 卤素,○ 卤素,○ 卤素,○,○,○,-,-,-,-,○,○,○,○,○,○,●,●,● 卤素,● 卤素,●,●,-,●,-,-,-,-,● 卤素,● 卤素,● 卤素,-,-,● 卤素,● 卤素,-,-,● 卤素
车外灯光,大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,前/后电动车窗,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
天窗/玻璃,车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前排,● 前排,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,-,-,-,-,● 前排,● 前排,● 前排,-,-,-,-,-,-
天窗/玻璃,车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,-,-,-,-,-,-
天窗/玻璃,后排侧隐私玻璃,-,-,●,-,-,-,-,●,-,●,●,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,●,●,-,-,-,●,●,●,●,-,-,-,-,●,-,-,●,-,-,-,-,●,●,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,○,-,-,○,-,-,-,-,-,-,●,●,-,-,○,○,●,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,● 副驾驶,-,● 副驾驶,-,-,-,-,-,● 副驾驶,● 副驾驶,-,-,● 副驾驶,● 副驾驶,-,-,● 副驾驶
天窗/玻璃,后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,●,-,-,-,-,-,●,●,-,-,●,●,-,-,●
